,time, open,close,fluctuation,date
0,1511416800,381.84,380.05,-1.0, 
1,1511420400,380.05,386.7,1.0, 
2,1511424000,386.7,391.36,1.0, 
3,1511427600,391.36,397.08,1.0, 
4,1511431200,397.08,398.89,1.0, 
5,1511434800,398.89,393.08,-1.0, 
6,1511438400,393.08,396.11,1.0, 
7,1511442000,396.11,411.66,1.0, 
8,1511445600,411.66,411.81,1.0, 
9,1511449200,411.81,411.8,-1.0, 
10,1511452800,411.8,422.35,1.0, 
11,1511456400,422.35,420.45,-1.0, 
12,1511460000,420.45,419.32,-1.0, 
13,1511463600,419.32,420.25,1.0, 
14,1511467200,420.25,417.29,-1.0, 
15,1511470800,417.29,423.43,1.0, 
16,1511474400,423.43,406.57,-1.0, 
17,1511478000,406.57,405.95,-1.0, 
18,1511481600,405.95,406.22,1.0, 
19,1511485200,406.22,411.4,1.0, 
20,1511488800,411.4,410.28,-1.0, 
21,1511492400,410.28,410.09,-1.0, 
22,1511496000,410.09,414.09,1.0, 
23,1511499600,414.09,408.9,-1.0, 
24,1511503200,408.9,408.37,-1.0, 
25,1511506800,408.37,403.17,-1.0, 
26,1511510400,403.17,409.78,1.0, 
27,1511514000,409.78,417.07,1.0, 
28,1511517600,417.07,417.26,1.0, 
29,1511521200,417.26,432.6,1.0, 
30,1511524800,432.6,439.84,1.0, 
31,1511528400,439.84,437.92,-1.0, 
32,1511532000,437.92,452.06,1.0, 
33,1511535600,452.06,452.06,0.0, 
34,1511539200,452.06,456.11,1.0, 
35,1511542800,456.11,449.94,-1.0, 
36,1511546400,449.94,457.81,1.0, 
37,1511550000,457.81,461.5,1.0, 
38,1511553600,461.5,458.48,-1.0, 
39,1511557200,458.48,461.09,1.0, 
40,1511560800,461.09,470.43,1.0, 
41,1511564400,470.43,475.0,1.0, 
42,1511568000,475.0,472.32,-1.0, 
43,1511571600,472.32,468.75,-1.0, 
44,1511575200,468.75,460.16,-1.0, 
45,1511578800,460.16,464.88,1.0, 
46,1511582400,464.88,465.86,1.0, 
