time, open
1511416800, 381.84
1511420400, 380.05
1511424000, 386.7
1511427600, 391.36
1511431200, 397.08
1511434800, 398.89
1511438400, 393.08
1511442000, 396.11
1511445600, 411.66
1511449200, 411.81
1511452800, 411.8
1511456400, 422.35
1511460000, 420.45
1511463600, 419.32
1511467200, 420.25
1511470800, 417.29
1511474400, 423.43
1511478000, 406.57
1511481600, 405.95
1511485200, 406.22
1511488800, 411.4
1511492400, 410.28
1511496000, 410.09
1511499600, 414.09
1511503200, 408.9
1511506800, 408.37
1511510400, 403.17
1511514000, 409.78
1511517600, 417.07
1511521200, 417.26
1511524800, 432.6
1511528400, 439.84
1511532000, 437.92
1511535600, 452.06
1511539200, 452.06
1511542800, 456.11
1511546400, 449.94
1511550000, 457.81
1511553600, 461.5
1511557200, 458.48
1511560800, 461.09
1511564400, 470.43
1511568000, 475
1511571600, 472.32
1511575200, 468.75
1511578800, 460.16
1511582400, 464.88
1511586000, 465.86
1511589600, 471.36
1511593200, 466.62
1511596800, 462.48
1511600400, 457.73
1511604000, 460.18
1511607600, 466.91
1511611200, 463.78
1511614800, 473.64
1511618400, 472.81
1511622000, 474.72
1511625600, 472.4
1511629200, 467.86
1511632800, 467.7
1511636400, 468.69
1511640000, 470.35
1511643600, 469.75
1511647200, 468.4
1511650800, 464.61
1511654400, 452.07
1511658000, 461.91
1511661600, 460.64
1511665200, 458.8
1511668800, 455.17
1511672400, 457.48
1511676000, 453.11
1511679600, 460.53
1511683200, 460.58
1511686800, 459
1511690400, 460.87
1511694000, 462.77
1511697600, 462.99
1511701200, 462.31
1511704800, 459.51
1511708400, 458.29
1511712000, 451.97
1511715600, 458.65
1511719200, 454.55
1511722800, 457.19
1511726400, 460.66
1511730000, 465.62
1511733600, 468.78
1511737200, 470.54
1511740800, 467.2
1511744400, 473
1511748000, 469.87
1511751600, 471.17
1511755200, 483.18
1511758800, 484.05
1511762400, 489.09
1511766000, 487.01
1511769600, 485.2
1511773200, 469.8
1511776800, 473.21
1511780400, 477.26
1511784000, 476.04
1511787600, 477.79
1511791200, 480.3
1511794800, 476.59
1511798400, 471.22
1511802000, 470.44
1511805600, 470.28
1511809200, 469.18
1511812800, 472.63
1511816400, 474.44
1511820000, 475.79
1511823600, 475.24
1511827200, 473.72
1511830800, 473.64
1511834400, 473.37
1511838000, 474.96
1511841600, 475.34
1511845200, 474.74
1511848800, 474.57
1511852400, 474.65
1511856000, 473.56
1511859600, 472.23
1511863200, 471.61
1511866800, 468.29
1511870400, 460.39
1511874000, 468.76
1511877600, 470.08
1511881200, 468.53
1511884800, 468.41
1511888400, 465.64
1511892000, 465.33
1511895600, 466.14
1511899200, 469.15
1511902800, 471.87
1511906400, 467.36
1511910000, 466.27
1511913600, 470.73
1511917200, 467.3
1511920800, 477.03
1511924400, 473.04
1511928000, 475.61
1511931600, 462.24
1511935200, 461.27
1511938800, 469.81
1511942400, 471.48
1511946000, 473.26
1511949600, 476.24
1511953200, 477.85
1511956800, 506.61
1511960400, 504.06
1511964000, 504.08
1511967600, 486.45
1511971200, 486.55
1511974800, 482.55
1511978400, 475.41
1511982000, 430.47
1511985600, 419.92
1511989200, 442.91
1511992800, 437.37
1511996400, 427.42
1512000000, 440.87
1512003600, 453.12
1512007200, 449.67
1512010800, 456.77
1512014400, 454.43
1512018000, 444.22
1512021600, 435.9
1512025200, 442.45
1512028800, 446.08
1512032400, 446.85
1512036000, 425.29
1512039600, 428.9
1512043200, 429.58
1512046800, 404.31
1512050400, 414.06
1512054000, 406.88
1512057600, 412.09
1512061200, 419.68
1512064800, 423.82
1512068400, 435.02
1512072000, 420.57
1512075600, 431.96
1512079200, 435.36
1512082800, 434.85
1512086400, 431.37
1512090000, 428.9
1512093600, 431.89
1512097200, 429.48
1512100800, 433.18
1512104400, 424.54
1512108000, 420.73
1512111600, 421.18
1512115200, 427.31
1512118800, 435.07
1512122400, 429.54
1512126000, 434.3
1512129600, 443.25
1512133200, 456.16
1512136800, 449.74
1512140400, 449.57
1512144000, 452.85
1512147600, 451.71
1512151200, 453.18
1512154800, 456.32
1512158400, 466.07
1512162000, 466.13
1512165600, 460.43
1512169200, 461.58
1512172800, 463.65
1512176400, 470.2
1512180000, 468.06
1512183600, 465.23
1512187200, 461.17
1512190800, 464.36
1512194400, 466.45
1512198000, 465.37
1512201600, 463.16
1512205200, 470.11
1512208800, 466.58
1512212400, 461.22
1512216000, 462.63
1512219600, 461.2
1512223200, 457.63
1512226800, 452.89
1512230400, 456.66
1512234000, 459.58
1512237600, 461.36
1512241200, 459.78
1512244800, 458.11
1512248400, 461.46
1512252000, 459.52
1512255600, 457.96
1512259200, 456.78
1512262800, 458.56
1512266400, 457.92
1512270000, 456.52
1512273600, 461.19
1512277200, 461.73
1512280800, 464.76
1512284400, 466.28
1512288000, 466.22
1512291600, 465.61
1512295200, 466.35
1512298800, 477.19
1512302400, 477.53
1512306000, 477.53
1512309600, 477
1512313200, 477.67
1512316800, 476
1512320400, 477.47
1512324000, 478.73
1512327600, 479.39
1512331200, 467.96
1512334800, 455.2
1512338400, 461.11
1512342000, 462.81
1512345600, 460.99
1512349200, 464.28
1512352800, 459.34
1512356400, 463.49
1512360000, 464.62
1512363600, 465.14
1512367200, 465.25
1512370800, 470.25
1512374400, 470.25
1512378000, 466.45
1512381600, 462.31
1512385200, 457.28
1512388800, 456.8
1512392400, 459.73
1512396000, 463.83
1512399600, 462.28
1512403200, 458.76
1512406800, 460.19
1512410400, 456.92
1512414000, 458.12
1512417600, 459.69
